code,name,category,weight
POL,紫微,major,M1
HPI,天機,major,M3
SUN,太陽,major,M1
MAR,武曲,major,M2
HAR,天同,major,M3
MAG,廉貞,major,M2
TRE,天府,major,M1
MOO,太陰,major,M3
AWO,貪狼,major,M2
GGA,巨門,major,M3
MIN,天相,major,M2
BLE,天梁,major,M3
VAN,七殺,major,M2
BRE,破軍,major,M2
LHA,左輔,support,S2
RHA,右弼,support,S2
AAC,文昌,support,S3
AAR,文曲,support,S3
CPA,天魁,support,S4
CAI,天鉞,support,S4
DIV,祿存,support,S1
HHO,天馬,support,S1
GLA,擎羊,brakes,B2
STO,陀羅,brakes,B2
FSP,火星,brakes,B2
CHI,鈴星,brakes,B2
EVO,地空,void,B1
MAE,地劫,void,B1
INT,截空,void,B1
RPH,紅鸞,other,O1
GLM,天姚,other,O2
HJO,天喜,other,O2
PPO,咸池,other,O1
GOS,蜚廉,other,O2
POD,台輔,other,O1
OFC,天官,other,O1
NOB,天貴,other,O1
PRV,天德,other,O1
ECA,華蓋,other,O1
SHM,天巫,other,O2
WEE,天哭,other,O2
VOI,天虛,other,O2
WID,寡宿,other,O2
PHO,鳳閣,other,O1
DRA,龍池,other,O1
GEN,天才,other,O2
EDI,封誥,other,O2
FEA,天福,other,O2
LON,天壽,other,O2
RES,解神,other,O2
GRA,恩光,other,O2
3PL,三台,other,O4
8ST,八座,other,O4
SHA,陰煞,other,O2
DIS,天刑,other,O2
LNR,孤辰,other,O2
MDR,大耗,other,O2
SHT,破碎,other,O2
ROB,劫殺,other,O2
AIL,天月,other,O2
HIA,旬空,other,O2
CMD,將星,other,O3
SDR,小耗,other,O3
RST,息神,other,O3
SLA,指背,other,O3
GLO,晦氣,other,O3
LSA,月煞,other,O3
CSH,災煞,other,O3
SCH,病符,other,O3
RES,解神,other,O3
SHK,貫索,other,O3
VDN,亡神,other,O3
STD,攀鞍,other,O3
YHO,歲驛,other,O3
JUP,歲建,other,O3
WTI,白虎,other,O3
DVI,龍德,other,O3
CGU,吊客,other,O3
MGT,喪門,other,O3
dGL,大羊,flow_d,FD
dST,大陀,flow_d,FD
dCP,大魁,flow_d,FD
dCA,大鉞,flow_d,FD
dDI,大祿,flow_d,FD
dHH,大馬,flow_d,FD
dRP,大鸞,flow_d,FD
dHJ,大喜,flow_d,FD
sGL,小羊,flow_s,FS
sST,小陀,flow_s,FS
sCP,小魁,flow_s,FS
sCA,小鉞,flow_s,FS
sDI,小祿,flow_s,FS
sHH,小馬,flow_s,FS
sRP,小鸞,flow_s,FS
sHJ,小喜,flow_s,FS
yGL,年羊,flow_y,FY
yST,年陀,flow_y,FY
yCP,年魁,flow_y,FY
yCA,年鉞,flow_y,FY
yDI,年祿,flow_y,FY
yHH,年馬,flow_y,FY
yRP,年鸞,flow_y,FY
yHJ,年喜,flow_y,FY
