code,name,name_en,sort
POL,紫微,Polaris,
HPI,天機,Heavenly-Pivot,
SUN,太陽,Sun,
MAR,武曲,Marshal,
HAR,天同,Harmony,
MAG,廉貞,Magistrate,
TRE,天府,Treasury,
MOO,太陰,Moon,
AWO,貪狼,Alpha-Wolf,
GGA,巨門,Great-Gate,
MIN,天相,Minister,
BLE,天梁,Blessing,
VAN,七殺,Vanguard,
BRE,破軍,Breaker,
LHA,左輔,Left-Hand,
RHA,右弼,Right-Hand,
AAC,文昌,Academic-Star,
AAR,文曲,Artistic-Star,
CPA,天魁,Celestial-Patron,
CAI,天鉞,Celestial-Aide,
DIV,祿存,Dividend,
HHO,天馬,Heavenly-Horse,
GLA,擎羊,Glaive,
STO,陀羅,Spinning-Top,
FSP,火星,Fire-Spark,
CHI,鈴星,Chime,
EVO,地空,Earth-Void,
MAE,地劫,Maelstrom,
INT,截空,Interruption,
ECA,華蓋,Emperor's-Canopy,
RPH,紅鸞,Red-Phoenix,
HJO,天喜,Heavenly-Joy,
PPO,咸池,Passion-Pool,
GLM,天姚,Glamour,
DIS,天刑,Discipline,
SHA,陰煞,Shadow,
RES,解神,Resolver,
JUP,歲建,Jupiter,
WTI,白虎,White-Tiger,
DVI,龍德,Dragon-Virtue,
CGU,吊客,Condolence-Guest,
SCH,病符,Sickness-Charm,
3PL,三台,3-Platform,
8ST,八座,8-Seats,
MGT,喪門,Mourning Gate,
SHM,天巫,Shaman,
WEE,天哭,Weeping,
OFC,天官,Official,
GEN,天才,Genius,
AIL,天月,Ailment,
VOI,天虛,Void,
NOB,天貴,Noble,
FEA,天福,Feast,
LON,天壽,Longevity,
LNR,孤辰,Loner,
EDI,封誥,Edict,
WID,寡宿,Widow,
CMD,將星,Commander,
SDR,小耗,Small Drain,
RST,息神,Rest,
SLA,指背,Slander,
GLO,晦氣,Gloom,
LSA,月煞,Lunar Sha,
CSH,災煞,Calamity Sha,
SCH,病符,Sickness,
SHT,破碎,Shatter,
RES,解神,Resolver,
SHK,貫索,Shackles,
VDN,亡神,Voidance,
POD,台輔,Podium,
PHO,鳳閣,Phoenix,
DRA,龍池,Dragon,
STD,攀鞍,Steed,
HIA,旬空,Hiatus,
YHO,歲驛,Year Horse,
MDR,大耗,Major Drain,
ROB,劫殺,Robbery,
GRA,恩光,Grace,
GOS,蜚廉,Gossip,
PRV,天德,Providence,
dGL,大羊,Decade Glaive,
dST,大陀,Decade Spinning-Top,
dCP,大魁,Decade Celestial-Patron,
dCA,大鉞,Decade Celestial-Aide,
dDI,大祿,Decade Dividend,
dHH,大馬,Decade Heavenly-Horse,
dRP,大鸞,Decade Red-Phoenix,
dHJ,大喜,Decade Heavenly-Joy,
sGL,小羊,Small Glaive,
sST,小陀,Small Spinning-Top,
sCP,小魁,Small Celestial-Patron,
sCA,小鉞,Small Celestial-Aide,
sDI,小祿,Small Dividend,
sHH,小馬,Small Heavenly-Horse,
sRP,小鸞,Small Red-Phoenix,
sHJ,小喜,Small Heavenly-Joy,
yGL,年羊,Year Glaive,
yST,年陀,Year Spinning-Top,
yCP,年魁,Year Celestial-Patron,
yCA,年鉞,Year Celestial-Aide,
yDI,年祿,Year Dividend,
yHH,年馬,Year Heavenly-Horse,
yRP,年鸞,Year Red-Phoenix,
yHJ,年喜,Year Heavenly-Joy,
