dim,name,name_zh,kind,stars,can_sihua,description
0,major_pol,排序力,major,POL,1,紫微・尊・秩序與位階的能量
1,major_hpi,運算力,major,HPI,1,天機・善・計算與推演的能量
2,major_sun,作用力,major,SUN,1,太陽・貴・照耀與施予的能量
3,major_mar,兌換力,major,MAR,1,武曲・財・交換與果斷的能量
4,major_har,分享力,major,HAR,1,天同・福・和諧與共享的能量
5,major_mag,掌控力,major,MAG,1,廉貞・囚・掌握與治理的能量
6,major_tre,承載力,major,TRE,1,天府・令・容納與調度的能量
7,major_moo,涵養力,major,MOO,1,太陰・富・滋養與積累的能量
8,major_awo,擴張力,major,AWO,1,貪狼・桃花・吸引與交際的能量
9,major_gga,分界力,major,GGA,1,巨門・暗・試煉與質疑的能量
10,major_min,授權力,major,MIN,1,天相・印・認證與委託的能量
11,major_ble,系統力,major,BLE,1,天梁・蔭・保護與成全的能量
12,major_van,決斷力,major,VAN,1,七殺・權・執行與突破的能量
13,major_bre,重生力,major,BRE,1,破軍・破・重塑與開拓的能量
14,pair_lr,左右,pair,LHA|RHA,1,左輔右弼・助・協同搭手（2026-07-18 前名：輔佐勢）
15,pair_kk,魁鉞,pair,CPA|CAI|dCP|dCA|sCP|sCA|yCP|yCA,0,天魁天鉞・貴・提拔接引（含大限/小限/流年魁鉞，同組疊加；前名：提攜勢）
16,pair_cc,昌曲,pair,AAC|AAR,1,文昌文曲・文・言說表述（前名：表述勢）
17,solo_div,祿存,solo,DIV|dDI|sDI|yDI,0,祿存・祿・資源積存（含大限/小限/流年祿，同組疊加；前名：儲備勢）
18,solo_hho,天馬,solo,HHO|dHH|sHH|yHH,0,天馬・動・位移不滯（含大限/小限/流年馬，同組疊加；前名：機動勢）
19,solo_sha,煞星,solo,GLA|STO|FSP|CHI|dGL|dST|sGL|sST|yGL|yST,0,擎羊陀羅火星鈴星・煞・四煞共用維（含大限/小限/流年羊陀，同組疊加；2026-07-18 銳進勢/迂迴勢/爆發勢/城府勢四維合併）
20,trio_void,空劫,void,EVO|MAE|INT,0,地空地劫截空・空・消解之場（三星共用維，E 相加；讀數歸 S輔；空劫衰減的施加者；前名：消散勢）
